symbol,tf,lookback,threshold,atr,align,align_label,session,session_label,trades,win_rate,expectancy,total_R
ES,15m,12,0.01,2.0,0,No HTF filter,off,No session filter (24h),194,47.4,-0.052,-10.09
ES,15m,12,0.01,2.0,0,No HTF filter,rth,ES/NQ RTH 09:30-15:30 ET (flat at 16:00),124,43.5,-0.081,-10.04
ES,15m,12,0.01,2.0,1,Require HTF EMA20 + slope alignment (1h gated by 4h+1d; 15m by 1h+4h; 4h by 1d),off,No session filter (24h),90,45.6,-0.089,-8.01
ES,15m,12,0.01,2.0,1,Require HTF EMA20 + slope alignment (1h gated by 4h+1d; 15m by 1h+4h; 4h by 1d),rth,ES/NQ RTH 09:30-15:30 ET (flat at 16:00),54,38.9,-0.238,-12.85
ES,15m,12,0.01,2.5,0,No HTF filter,off,No session filter (24h),166,52.4,0.048,7.97
ES,15m,12,0.01,2.5,0,No HTF filter,rth,ES/NQ RTH 09:30-15:30 ET (flat at 16:00),115,45.2,-0.038,-4.37
ES,15m,12,0.01,2.5,1,Require HTF EMA20 + slope alignment (1h gated by 4h+1d; 15m by 1h+4h; 4h by 1d),off,No session filter (24h),79,46.8,-0.063,-4.98
ES,15m,12,0.01,2.5,1,Require HTF EMA20 + slope alignment (1h gated by 4h+1d; 15m by 1h+4h; 4h by 1d),rth,ES/NQ RTH 09:30-15:30 ET (flat at 16:00),49,40.8,-0.185,-9.06
ES,15m,12,0.01,3.0,0,No HTF filter,off,No session filter (24h),146,54.8,0.096,14.02
ES,15m,12,0.01,3.0,0,No HTF filter,rth,ES/NQ RTH 09:30-15:30 ET (flat at 16:00),112,46.4,0.023,2.58
ES,15m,12,0.01,3.0,1,Require HTF EMA20 + slope alignment (1h gated by 4h+1d; 15m by 1h+4h; 4h by 1d),off,No session filter (24h),75,48.0,-0.04,-3.0
ES,15m,12,0.01,3.0,1,Require HTF EMA20 + slope alignment (1h gated by 4h+1d; 15m by 1h+4h; 4h by 1d),rth,ES/NQ RTH 09:30-15:30 ET (flat at 16:00),48,41.7,-0.097,-4.66
ES,15m,12,0.01,3.5,0,No HTF filter,off,No session filter (24h),132,54.5,0.091,12.01
ES,15m,12,0.01,3.5,0,No HTF filter,rth,ES/NQ RTH 09:30-15:30 ET (flat at 16:00),110,46.4,0.035,3.85
ES,15m,12,0.01,3.5,1,Require HTF EMA20 + slope alignment (1h gated by 4h+1d; 15m by 1h+4h; 4h by 1d),off,No session filter (24h),73,46.6,-0.068,-4.96
ES,15m,12,0.01,3.5,1,Require HTF EMA20 + slope alignment (1h gated by 4h+1d; 15m by 1h+4h; 4h by 1d),rth,ES/NQ RTH 09:30-15:30 ET (flat at 16:00),48,41.7,-0.08,-3.84
ES,15m,12,0.015,2.0,0,No HTF filter,off,No session filter (24h),71,40.8,-0.183,-12.99
ES,15m,12,0.015,2.0,0,No HTF filter,rth,ES/NQ RTH 09:30-15:30 ET (flat at 16:00),43,41.9,-0.019,-0.82
ES,15m,12,0.015,2.0,1,Require HTF EMA20 + slope alignment (1h gated by 4h+1d; 15m by 1h+4h; 4h by 1d),off,No session filter (24h),35,42.9,-0.143,-5.0
ES,15m,12,0.015,2.0,1,Require HTF EMA20 + slope alignment (1h gated by 4h+1d; 15m by 1h+4h; 4h by 1d),rth,ES/NQ RTH 09:30-15:30 ET (flat at 16:00),17,47.1,-0.051,-0.87
ES,15m,12,0.015,2.5,0,No HTF filter,off,No session filter (24h),65,49.2,-0.015,-0.97
ES,15m,12,0.015,2.5,0,No HTF filter,rth,ES/NQ RTH 09:30-15:30 ET (flat at 16:00),43,41.9,-0.018,-0.77
ES,15m,12,0.015,2.5,1,Require HTF EMA20 + slope alignment (1h gated by 4h+1d; 15m by 1h+4h; 4h by 1d),off,No session filter (24h),35,42.9,-0.143,-5.0
ES,15m,12,0.015,2.5,1,Require HTF EMA20 + slope alignment (1h gated by 4h+1d; 15m by 1h+4h; 4h by 1d),rth,ES/NQ RTH 09:30-15:30 ET (flat at 16:00),17,47.1,-0.034,-0.58
ES,15m,12,0.015,3.0,0,No HTF filter,off,No session filter (24h),61,54.1,0.082,5.0
