Time,Open,High,Low,Latest,Change,%Change,Volume
"2026-03-25 23:00",24379.25,24385,24317,24324.75,-55.25,-0.23%,3276
"2026-03-25 22:00",24284,24421.25,24281.75,24380,95.75,+0.39%,7896
"2026-03-25 21:00",24360.25,24378.75,24247.75,24284.25,-79.5,-0.33%,8247
"2026-03-25 20:00",24355.75,24381.75,24330.75,24363.75,9,+0.04%,4602
"2026-03-25 19:00",24323.5,24410,24316.25,24354.75,31,+0.13%,7607
"2026-03-25 18:00",24314.75,24332.5,24283.25,24323.75,7.5,+0.03%,5558
"2026-03-25 17:00",24373.5,24373.5,24308,24316.25,-51.5,-0.21%,4842
"2026-03-25 15:00",24371.75,24393,24349.25,24367.75,-3.75,-0.02%,10571
"2026-03-25 14:00",24354.75,24395,24311.75,24371.5,17,+0.07%,48368
"2026-03-25 13:00",24426,24453,24322.75,24354.5,-73.25,-0.30%,32536
"2026-03-25 12:00",24422.5,24493.75,24377.25,24427.75,5.75,+0.02%,44715
"2026-03-25 11:00",24377.5,24450.25,24330.75,24422,43.75,+0.18%,44553
"2026-03-25 10:00",24483.75,24494.25,24286.5,24378.25,-106.,-0.43%,75511
"2026-03-25 09:00",24368.5,24519.5,24327.5,24484.25,115.5,+0.47%,70374
"2026-03-25 08:00",24448.75,24526,24360.75,24368.75,-79.25,-0.32%,58148
"2026-03-25 07:00",24494.5,24539.75,24373,24448,-47.,-0.19%,24963
"2026-03-25 06:00",24447.75,24522,24440.25,24495,46,+0.19%,12905
"2026-03-25 05:00",24454.75,24487.5,24426.75,24449,-4.75,-0.02%,7864
"2026-03-25 04:00",24441.25,24481.25,24412.5,24453.75,14.75,+0.06%,9608
"2026-03-25 03:00",24408.5,24535,24408.5,24439,30.75,+0.13%,15244
"2026-03-25 02:00",24377,24419.75,24352,24408.25,30.25,+0.12%,5664
"2026-03-25 01:00",24382.5,24390,24323.75,24378,-4.,-0.02%,5946
"2026-03-25 00:00",24419.25,24429,24372.5,24382,-36.5,-0.15%,3408
"2026-03-24 23:00",24381,24421.5,24375.5,24418.5,37.25,+0.15%,3546
"2026-03-24 22:00",24337,24389,24320.5,24381.25,46,+0.19%,4198
"2026-03-24 21:00",24396.5,24401,24334,24335.25,-60.,-0.25%,6309
"2026-03-24 20:00",24449,24468.5,24392.5,24395.25,-54.5,-0.22%,6402
"2026-03-24 19:00",24412,24494,24382.75,24449.75,38,+0.16%,10122
"2026-03-24 18:00",24425.25,24444,24402.25,24411.75,-14.75,-0.06%,4931
"2026-03-24 17:00",24420,24458.5,24380.75,24426.5,22.75,+0.09%,8131
"2026-03-24 15:00",24219.25,24550,24214.25,24403.75,184.5,+0.76%,38988
"2026-03-24 14:00",24275.25,24319.75,24188.5,24219.25,-57.,-0.23%,44262
"2026-03-24 13:00",24243,24348,24209.25,24276.25,33.75,+0.14%,41635
"2026-03-24 12:00",24280.75,24294.75,24160.25,24242.5,-38.75,-0.16%,48377
"2026-03-24 11:00",24295,24346.25,24244.25,24281.25,-14.25,-0.06%,37259
"2026-03-24 10:00",24244.5,24385.25,24240.5,24295.5,53,+0.22%,51674
"2026-03-24 09:00",24215.75,24343,24175.75,24242.5,26.75,+0.11%,82515
"2026-03-24 08:00",24279.5,24317.5,24134,24215.75,-64.5,-0.27%,68715
"2026-03-24 07:00",24384,24397.75,24263.75,24280.25,-102.75,-0.42%,15293
"2026-03-24 06:00",24407,24424.25,24297.5,24383,-23.5,-0.10%,10908
"2026-03-24 05:00",24421.5,24434,24369.5,24406.5,-13.75,-0.06%,6821
"2026-03-24 04:00",24379.25,24429.25,24304.25,24420.25,42.75,+0.18%,9110
"2026-03-24 03:00",24466.5,24491,24361,24377.5,-89.5,-0.37%,11290
"2026-03-24 02:00",24376.5,24507.25,24371.25,24467,90.5,+0.37%,11600
"2026-03-24 01:00",24263,24397.75,24259.75,24376.5,114,+0.47%,6525
"2026-03-24 00:00",24258,24305,24193.5,24262.5,6,+0.02%,7151
"2026-03-23 23:00",24276.75,24303.5,24241.25,24256.5,-20.5,-0.08%,3649
"2026-03-23 22:00",24250,24282.5,24231,24277,27.5,+0.11%,3498
"2026-03-23 21:00",24263,24294,24222.75,24249.5,-14.25,-0.06%,6023
"2026-03-23 20:00",24326.25,24326.5,24232.25,24263.75,-58.75,-0.24%,7766
"2026-03-23 19:00",24454.75,24457.75,24266.75,24322.5,-133.,-0.54%,13063
"2026-03-23 18:00",24483.25,24484,24426.75,24455.5,-26.5,-0.11%,4883
"2026-03-23 17:00",24417.25,24489.75,24377.25,24482,82,+0.34%,6057
"2026-03-23 15:00",24398.75,24433.75,24359,24400,1.25,+0.01%,16285
"2026-03-23 14:00",24514.25,24516.5,24398.25,24398.75,-115.25,-0.47%,49342
"2026-03-23 13:00",24468.5,24536.75,24416.75,24514,45.75,+0.19%,38842
"2026-03-23 12:00",24369,24473.75,24311.25,24468.25,99.5,+0.41%,41522
"2026-03-23 11:00",24382,24465.5,24308.5,24368.75,-12.75,-0.05%,63523
"2026-03-23 10:00",24611,24690,24370.25,24381.5,-228.,-0.93%,68021
"2026-03-23 09:00",24600.5,24688.25,24527.5,24609.5,10.25,+0.04%,72110
"2026-03-23 08:00",24610,24648,24432.5,24599.25,-9.25,-0.04%,73255
"2026-03-23 07:00",24392.75,24621,24345,24608.5,218.5,+0.90%,39391
"2026-03-23 06:00",23881.25,24763,23875.5,24390,508.75,+2.13%,64609
"2026-03-23 05:00",23884,23929,23815.75,23881.25,-1.,0.00%,14302
"2026-03-23 04:00",23932.25,23971.5,23845.25,23882.25,-49.75,-0.21%,13111
"2026-03-23 03:00",23841.5,23955.25,23839.75,23932,89.25,+0.37%,15493
"2026-03-23 02:00",23855.75,23913.25,23772.5,23842.75,-11.75,-0.05%,13992
"2026-03-23 01:00",23972.75,23975.75,23827,23854.5,-120.,-0.50%,10150
"2026-03-23 00:00",23995.75,24033.75,23932.75,23974.5,-21.5,-0.09%,6948
"2026-03-22 23:00",23955.75,24004,23946,23996,45.25,+0.19%,4269
"2026-03-22 22:00",24010,24027.25,23950,23950.75,-58.5,-0.24%,5672
"2026-03-22 21:00",24045,24068.5,23989.75,24009.25,-35.25,-0.15%,6854
"2026-03-22 20:00",23950.25,24072.75,23936.25,24044.5,95.25,+0.40%,11200
"2026-03-22 19:00",24008,24091,23940.25,23949.25,-58.,-0.24%,15537
"2026-03-22 18:00",24046.75,24084.5,23975.5,24007.25,-36.75,-0.15%,9040
"2026-03-22 17:00",23902,24095,23890,24044,-173.25,-0.72%,19255
"2026-03-20 15:00",24114,24219.75,24096,24217.25,103.75,+0.43%,28856
"2026-03-20 14:00",24094.5,24118,23971.25,24113.5,19.25,+0.08%,87773
"2026-03-20 13:00",24211.75,24222.25,24070.5,24094.25,-118.,-0.49%,45681
"2026-03-20 12:00",24272.5,24292.5,24164,24212.25,-60.,-0.25%,44931
"2026-03-20 11:00",24311.75,24356.75,24235.5,24272.25,-38.5,-0.16%,45022
"2026-03-20 10:00",24270,24343.25,24237,24310.75,39.75,+0.16%,54493
"2026-03-20 09:00",24285.75,24328,24231.25,24271,-14.75,-0.06%,77860
"2026-03-20 08:00",24496.25,24527.5,24279.75,24285.75,-210.75,-0.86%,71610
"2026-03-20 07:00",24444.25,24502,24424.75,24496.5,52.25,+0.21%,18357
"2026-03-20 06:00",24408,24468.5,24397.5,24444.25,37.5,+0.15%,12175
"2026-03-20 05:00",24430.75,24440.25,24319,24406.75,-25.25,-0.10%,19223
"2026-03-20 04:00",24560,24585.5,24408.5,24432,-127.25,-0.52%,15300
"2026-03-20 03:00",24594.5,24616.25,24553,24559.25,-34.75,-0.14%,10341
