Time,Open,High,Low,Latest,Change,%Change,Volume
"2026-03-25 12:00",657,659.38,655.58,656.82,-0.18,-0.03%,36776545
"2026-03-25 08:00",658.67,660.89,654.24,657,3.74,+0.57%,35410397
"2026-03-24 12:00",655.05,656.59,652.38,653.26,-1.78,-0.27%,37750704
"2026-03-24 08:00",651.32,657.03,649.88,655.04,-0.725,-0.11%,30506604
"2026-03-23 12:00",655.99,659.65,653.94,655.765,-0.245,-0.04%,46629666
"2026-03-23 08:00",658.07,662.615,655.83,656.01,7.47,+1.15%,42860782
"2026-03-20 12:00",652.97,653.99,644.72,648.54,-4.405,-0.67%,65546865
"2026-03-20 08:00",656.51,656.69,651.2,652.945,-6.875,-1.04%,30439853
"2026-03-19 12:00",657.91,662.98,655.61,659.82,1.895,+0.29%,49189942
"2026-03-19 08:00",656.97,659.71,655.17,657.925,-3.685,-0.56%,32341911
"2026-03-18 12:00",667.03,667.58,661.19,661.61,-5.43,-0.81%,39958590
"2026-03-18 08:00",668.36,669.72,665.66,667.04,-3.75,-0.56%,20964823
"2026-03-17 12:00",671.02,672.3,669.7,670.79,-0.22,-0.03%,28702502
"2026-03-17 08:00",672.39,674.44,670.3,671.01,1.98,+0.30%,23208014
"2026-03-16 12:00",668.47,672.07,667.12,669.03,0.56,+0.08%,35655047
"2026-03-16 08:00",668.38,671.4,667.575,668.47,6.11,+0.92%,24506505
"2026-03-13 12:00",663.36,665.23,661.36,662.36,-1.02,-0.15%,36410768
"2026-03-13 08:00",669.27,672.335,663.1,663.38,-2.66,-0.40%,31988929
"2026-03-12 12:00",669.31,671.31,665.87,666.04,-3.2599,-0.49%,44270392
"2026-03-12 08:00",671.16,671.65,666.92,669.2999,-6.9801,-1.03%,36237414
"2026-03-11 12:00",674.19,676.77,673.34,676.28,2.0782,+0.31%,27912923
"2026-03-11 08:00",677.58,680.08,673.64,674.2018,-2.9782,-0.44%,22192516
"2026-03-10 12:00",681.36,683.36,676.23,677.18,-4.19,-0.61%,43106100
"2026-03-10 08:00",677.72,681.9499,674.76,681.37,3.1,+0.46%,21840130
"2026-03-09 12:00",669.46,679.92,668.09,678.27,8.83,+1.32%,49217729
"2026-03-09 08:00",666.39,669.92,662.39,669.44,-2.86,-0.43%,31283428
"2026-03-06 12:00",674.98,676.11,671.14,672.3,-2.67,-0.40%,43582880
