Time,Open,High,Low,Latest,Change,%Change,Volume
2026-03-25,389.99,396.23,385.01,385.95,2.92,+0.76%,55157200
2026-03-24,376.56,387.48,376.31,383.03,2.18,+0.57%,60004900
2026-03-23,373.09,385.33,372.73,380.85,12.89,+3.50%,74606000
2026-03-20,379.85,379.89,364.4601,367.96,-12.34,-3.24%,78628600
2026-03-19,387.27,387.27,378.73,380.3,-12.48,-3.18%,67078200
2026-03-18,399,403.065,392.31,392.78,-6.49,-1.63%,50853100
2026-03-17,395.69,400.12,393,399.27,3.71,+0.94%,46890400
2026-03-16,396.22,403.73,394.42,395.56,4.36,+1.11%,58068300
2026-03-13,399.17,400.2,389.95,391.2,-3.81,-0.96%,58504000
2026-03-12,405.17,406.5,394.65,395.01,-12.81,-3.14%,60973700
2026-03-11,402.28,416.3799,402.15,407.82,8.585,+2.15%,62559900
2026-03-10,402.22,406.59,398.19,399.235,0.555,+0.14%,59258700
2026-03-09,390.05,401.59,381.4,398.68,1.95,+0.49%,67018900
2026-03-06,398.09,402.35,394.21,396.73,-8.82,-2.17%,64194194
2026-03-05,401.57,408.62,399.42,405.55,-0.39,-0.10%,51925900
2026-03-04,397.85,408.33,394.58,405.94,13.51,+3.44%,68305500
2026-03-03,395.09,396.34,385.39,392.43,-10.89,-2.70%,62617300
2026-03-02,390.6,404.54,388.25,403.32,0.81,+0.20%,55088300
2026-02-27,402.94,407.12,398.11,402.51,-6.07,-1.49%,56890100
2026-02-26,414.42,416.81,403.66,408.58,-8.82,-2.11%,53602500
2026-02-25,412.15,420.34,412.15,417.4,8.02,+1.96%,54809700
2026-02-24,399.5,410.82,397.64,409.38,9.55,+2.39%,58579400
2026-02-23,407.29,407.7,394.04,399.83,-11.99,-2.91%,69680000
2026-02-20,408.3,414.7,405.5,411.82,0.11,+0.03%,57912200
2026-02-19,407.25,415.2499,404.11,411.71,0.39,+0.09%,51019600
2026-02-18,411.11,416.9,409.58,411.32,0.69,+0.17%,45921400
2026-02-17,412.36,413.72,400.51,410.63,-6.81,-1.63%,59678700
2026-02-13,414.305,424.06,410.88,417.44,0.37,+0.09%,51434100
2026-02-12,430.3,436.23,414,417.07,-11.2,-2.62%,61933300
2026-02-11,427.955,436.35,420.03,428.27,3.06,+0.72%,57361900
2026-02-10,418.08,427.25,417,425.21,7.89,+1.89%,64450200
2026-02-09,409.9,421.25,407.29,417.32,6.21,+1.51%,54484200
2026-02-06,400.87,414.55,397.751,411.11,13.9,+3.50%,62677100
2026-02-05,397.015,402.1,387.5309,397.21,-8.8,-2.17%,72819800
2026-02-04,420.46,423.9,399.18,406.01,-15.95,-3.78%,74606800
2026-02-03,424.27,428.56,413.6901,421.96,0.15,+0.04%,56886500
2026-02-02,421.29,427.15,414.5,421.81,-8.6,-2.00%,58739400
2026-01-30,425.35,439.88,422.7,430.41,13.85,+3.32%,82626000
2026-01-29,437.8,440.2299,414.62,416.56,-14.9,-3.45%,81686100
2026-01-28,431.91,438.26,430.1,431.46,0.56,+0.13%,54857400
2026-01-27,437.41,437.52,430.69,430.9,-4.3,-0.99%,37733000
2026-01-26,445,445.04,434.28,435.2,-13.86,-3.09%,49397400
2026-01-23,447.42,452.43,444.04,449.06,-0.3,-0.07%,56771300
2026-01-22,435.16,449.5,432.6293,449.36,17.92,+4.15%,71546700
2026-01-21,421.66,438.2,419.6201,431.44,12.19,+2.91%,68123900
2026-01-20,429.36,430.725,417.44,419.25,-18.25,-4.17%,63187300
2026-01-16,439.5,447.25,435.2601,437.5,-1.07,-0.24%,60220500
2026-01-15,441.125,445.36,437.65,438.57,-0.63,-0.14%,49465800
2026-01-14,442.81,443.91,434.22,439.2,-8.,-1.79%,57259500
2026-01-13,450.2,451.81,443.95,447.2,-1.76,-0.39%,53719200
2026-01-12,441.23,454.3,438,448.96,3.95,+0.89%,61649600
2026-01-09,435.95,449.05,430.39,445.01,9.21,+2.11%,67331400
2026-01-08,427.89,436.89,424.365,435.8,4.39,+1.02%,57041000
2026-01-07,435.9,438.37,431.29,431.41,-1.55,-0.36%,59828700
2026-01-06,446.38,448.25,428.78,432.96,-18.71,-4.14%,89093700
2026-01-05,447.99,457.5499,444.57,451.67,13.6,+3.10%,67940800
2026-01-02,457.8,458.34,435.3,438.07,-11.65,-2.59%,85535400
2025-12-31,456.1,456.55,449.3,449.72,-4.71,-1.04%,49077900
2025-12-30,461.09,463.12,453.83,454.43,-5.21,-1.13%,59238400
2025-12-29,469,469.4,459,459.64,-15.55,-3.27%,66263000
2025-12-26,485.23,489.09,473.82,475.19,-10.21,-2.10%,58780600
2025-12-24,488.48,490.9,476.8,485.4,-0.16,-0.03%,41285400
2025-12-23,489.395,491.97,482.84,485.56,-3.17,-0.65%,58223600
2025-12-22,489.88,498.83,485.33,488.73,7.53,+1.56%,86916000
2025-12-19,488.12,490.49,474.72,481.2,-2.17,-0.45%,103305400
2025-12-18,478.16,490.86,473.12,483.37,16.11,+3.45%,95168400
2025-12-17,488.22,495.2799,466.2,467.26,-22.62,-4.62%,106490400
2025-12-16,472.21,491.5,465.83,489.88,14.57,+3.07%,107608000
2025-12-15,469.44,481.7694,467.66,475.31,16.35,+3.56%,114542200
2025-12-12,448.09,463.01,441.67,458.96,12.07,+2.70%,95656700
2025-12-11,448.945,449.2699,440.33,446.89,-4.56,-1.01%,55979400
2025-12-10,446.07,456.88,443.61,451.45,6.28,+1.41%,63257400
2025-12-09,437.54,452.39,435.7,445.17,5.59,+1.27%,62367400
2025-12-08,447.445,449.7463,435.25,439.58,-15.42,-3.39%,69165700
2025-12-05,453.03,458.87,451.66,455,0.47,+0.10%,56427500
2025-12-04,449.94,454.63,445.39,454.53,7.79,+1.74%,71906400
2025-12-03,432.1,447.92,431.11,446.74,17.5,+4.08%,87482900
2025-12-02,430.81,436.8,422.12,429.24,-0.9,-0.21%,69336600
2025-12-01,425.32,433.6599,425.29,430.14,-0.03,-0.01%,57463500
2025-11-28,426.59,432.93,426.2,430.17,3.59,+0.84%,36252800
2025-11-26,423.95,426.94,416.89,426.58,7.18,+1.71%,63463000
2025-11-25,414.42,420.48,405.95,419.4,1.62,+0.39%,71915600
2025-11-24,402.17,421.72,401.09,417.78,26.69,+6.82%,96806300
2025-11-21,402.32,402.8,383.76,391.09,-4.14,-1.05%,100460600
2025-11-20,414.63,428.94,394.74,395.23,-8.76,-2.17%,113548800
2025-11-19,406.18,411.78,398.5,403.99,2.74,+0.68%,72047700
2025-11-18,405.38,408.9,393.71,401.25,-7.67,-1.88%,80688600
2025-11-17,398.74,423.96,398.74,408.92,4.57,+1.13%,102214200
2025-11-14,386.3,412.19,382.78,404.35,2.36,+0.59%,105506600
2025-11-13,423.13,424.5,396.34,401.99,-28.61,-6.64%,118948000
2025-11-12,442.15,442.329,426.56,430.6,-9.02,-2.05%,58513500
2025-11-11,439.4,442.49,432.36,439.62,-5.61,-1.26%,60533200
2025-11-10,439.6,449.6715,433.36,445.23,15.71,+3.66%,76515900
2025-11-07,437.92,439.36,421.88,429.52,-16.39,-3.68%,103471400
2025-11-06,461.96,467.45,435.09,445.91,-16.16,-3.50%,109622900
2025-11-05,452.05,466.3299,440.71,462.07,17.81,+4.01%,85547200
2025-11-04,454.46,460.22,443.6,444.26,-24.11,-5.15%,87744900
2025-11-03,455.99,474.07,453.8,468.37,11.81,+2.59%,84567600
2025-10-31,446.75,458,443.6855,456.56,16.46,+3.74%,83135700
2025-10-30,451.05,455.0607,439.61,440.1,-21.41,-4.64%,72447900
2025-10-29,462.5,465.7,452.65,461.51,0.96,+0.21%,67983500
2025-10-28,454.77,467,451.6,460.55,8.13,+1.80%,80185600
2025-10-27,439.98,460.16,438.69,452.42,18.7,+4.31%,105867500
2025-10-24,446.83,451.68,430.17,433.72,-15.26,-3.40%,94727700
2025-10-23,420,449.3999,413.9,448.98,10.01,+2.28%,126709800
2025-10-22,443.45,445.539,429,438.97,-3.63,-0.82%,84023400
2025-10-21,445.76,449.3,442.05,442.6,-4.83,-1.08%,54412100
2025-10-20,443.86,449.8,440.61,447.43,8.12,+1.85%,63718900
2025-10-17,425.5,441.4558,423.6,439.31,10.56,+2.46%,89331500
2025-10-16,434.73,439.35,421.3101,428.75,-6.4,-1.47%,77189800
2025-10-15,434.9,440.51,426.3301,435.15,5.91,+1.38%,71558100
2025-10-14,426.79,434.2,417.86,429.24,-6.66,-1.53%,72669400
2025-10-13,423.53,436.89,419.7,435.9,22.41,+5.42%,79552700
2025-10-10,436.54,443.13,411.45,413.49,-22.05,-5.06%,112107800
2025-10-09,431.81,436.35,426.18,435.54,-3.15,-0.72%,69339900
2025-10-08,437.57,441.33,425.23,438.69,5.6,+1.29%,71192100
2025-10-07,447.82,452.68,432.4501,433.09,-20.16,-4.45%,102296000
2025-10-06,440.75,453.55,436.69,453.25,23.42,+5.45%,85324800
2025-10-03,443.285,446.77,416.575,429.83,-6.17,-1.42%,133188100
2025-10-02,470.54,470.75,435.57,436,-23.46,-5.11%,137008900
2025-10-01,443.8,462.29,440.75,459.46,14.74,+3.31%,98122200
2025-09-30,441.52,445,433.12,444.72,1.51,+0.34%,74357900
2025-09-29,444.35,450.98,439.5,443.21,2.81,+0.64%,79491500
2025-09-26,428.3,440.47,421.02,440.4,17.01,+4.02%,101628100
2025-09-25,435.24,435.35,419.08,423.39,-19.4,-4.38%,96746400
2025-09-24,429.83,444.21,429.0301,442.79,16.94,+3.98%,93133500
2025-09-23,439.88,440.97,423.72,425.85,-8.36,-1.93%,83422600
2025-09-22,431.11,444.98,429.13,434.21,8.14,+1.91%,97108700
2025-09-19,421.82,429.47,421.72,426.07,9.22,+2.21%,93131000
2025-09-18,428.86,432.2199,416.56,416.85,-9.01,-2.12%,90454500
2025-09-17,415.75,428.3121,409.67,425.86,4.24,+1.01%,106133500
2025-09-16,414.495,423.25,411.43,421.62,11.58,+2.82%,104285700
2025-09-15,423.13,425.7,402.43,410.04,14.1,+3.56%,163823600
2025-09-12,370.94,396.6899,370.24,395.94,27.13,+7.36%,168156300
2025-09-11,350.17,368.99,347.6,368.81,21.02,+6.04%,103756000
2025-09-10,350.55,356.33,346.07,347.79,0.82,+0.24%,72121600
2025-09-09,348.44,350.77,343.82,346.97,0.57,+0.16%,53815900
2025-09-08,354.64,358.44,344.84,346.4,-4.44,-1.27%,75208200
2025-09-05,348,355.87,344.6801,350.84,12.31,+3.64%,108989700
2025-09-04,336.15,338.89,331.48,338.53,4.44,+1.33%,60711000
2025-09-03,335.2,343.33,328.51,334.09,4.73,+1.44%,88733200
2025-09-02,328.23,333.33,325.6,329.36,-4.51,-1.35%,58391900
2025-08-29,347.23,348.7499,331.7,333.87,-12.11,-3.50%,81145600
2025-08-28,350.91,353.55,340.26,345.98,-3.62,-1.04%,67903200
2025-08-27,351.94,355.39,349.156,349.6,-2.07,-0.59%,65519000
2025-08-26,344.93,351.9,343.72,351.67,5.07,+1.46%,76651500
2025-08-25,338.9,349.53,335.03,346.6,6.59,+1.94%,86670000
2025-08-22,321.66,340.25,319.69,340.01,19.9,+6.22%,94016300
2025-08-21,322.08,324.9,318.68,320.11,-3.79,-1.17%,55744400
2025-08-20,329.22,331.37,314.6,323.9,-5.41,-1.64%,77481700
2025-08-19,335.79,340.55,327.85,329.31,-5.85,-1.75%,75956000
2025-08-18,329.62,336.27,329.59,335.16,4.6,+1.39%,56956500
2025-08-15,337.655,339.3,327.02,330.56,-5.02,-1.50%,74319700
2025-08-14,335.76,340.4699,330.4,335.58,-3.8,-1.12%,75000600
2025-08-13,341.5,348.98,338.2,339.38,-1.46,-0.43%,67838800
2025-08-12,345,345.26,332.94,340.84,1.81,+0.53%,80690100
2025-08-11,335,346.64,334.15,339.03,9.38,+2.85%,105320100
2025-08-08,321.43,335.15,320.98,329.65,7.38,+2.29%,91200300
2025-08-07,319.79,322.4,316.16,322.27,2.36,+0.74%,66658600
2025-08-06,307.89,320.47,306.9345,319.91,11.19,+3.62%,78523500
2025-08-05,308.95,312.4499,305.5,308.72,-0.54,-0.17%,57961200
2025-08-04,309.08,312.1186,303.0001,309.26,6.63,+2.19%,78683900
2025-08-01,306.2,309.31,297.82,302.63,-5.64,-1.83%,89121400
2025-07-31,319.61,321.37,306.1,308.27,-10.77,-3.38%,85270900
2025-07-30,322.18,324.4499,311.6164,319.04,-2.16,-0.67%,83931900
2025-07-29,325.55,326.25,318.25,321.2,-4.39,-1.35%,87358800
2025-07-28,318.45,330.49,315.69,325.59,9.53,+3.02%,112673700
2025-07-25,308.74,323.63,308.01,316.06,10.76,+3.52%,148227000
2025-07-24,310,310.15,300.41,305.3,-27.26,-8.20%,156966000
2025-07-23,330.9,336.2,328.67,332.56,0.45,+0.14%,92553700
2025-07-22,329.74,335.4098,321.55,332.11,3.62,+1.10%,77370300
2025-07-21,334.4,338,326.88,328.49,-1.16,-0.35%,75768800
2025-07-18,321.66,330.9,321.42,329.65,10.24,+3.21%,94254900
2025-07-17,323.15,324.34,317.0601,319.41,-2.26,-0.70%,73922800
2025-07-16,312.8,323.5,312.62,321.67,10.89,+3.50%,97284700
2025-07-15,319.67,321.2,310.5,310.78,-6.12,-1.93%,77556300
2025-07-14,317.73,322.5986,312.67,316.9,3.39,+1.08%,78043400
2025-07-11,307.89,314.09,305.65,313.51,3.64,+1.17%,79236400
2025-07-10,300.05,310.48,300,309.87,13.99,+4.73%,104365200
2025-07-09,297.55,300.15,293.55,295.88,-1.93,-0.65%,75586700
2025-07-08,297,304.0499,294.35,297.81,3.87,+1.32%,103246700
2025-07-07,291.37,296.15,288.7701,293.94,-21.41,-6.79%,131177900
2025-07-03,317.99,318.45,312.76,315.35,-0.3,-0.10%,58042300
2025-07-02,312.63,316.832,303.82,315.65,14.94,+4.97%,119483700
2025-07-01,298.46,305.89,293.21,300.71,-16.95,-5.34%,145085600
2025-06-30,319.9,325.5799,316.6,317.66,-5.97,-1.84%,76695000
2025-06-27,324.51,329.3393,317.495,323.63,-2.15,-0.66%,89067000
2025-06-26,324.61,331.05,323.61,325.78,-1.77,-0.54%,80440900
2025-06-25,342.7,343,320.4,327.55,-12.92,-3.79%,119845000
2025-06-24,356.17,356.26,340.44,340.47,-8.21,-2.35%,114736200
2025-06-23,327.54,357.54,327.48,348.68,26.52,+8.23%,190694100
2025-06-20,327.95,332.36,317.78,322.16,0.11,+0.03%,108688000
2025-06-18,317.31,329.32,315.45,322.05,5.7,+1.80%,95137600
2025-06-17,326.09,327.26,314.74,316.35,-12.78,-3.88%,88184900
