Time,Open,High,Low,Latest,Change,%Change,Volume
"2026-03-25 12:00",388.86,390.16,385.01,385.95,-2.92,-0.75%,21958769
"2026-03-25 08:00",389.99,396.23,388.275,388.87,5.7799,+1.51%,23415189
"2026-03-24 12:00",382.48,386.45,379.68,383.0901,0.5701,+0.15%,23738311
"2026-03-24 08:00",376.56,387.48,376.31,382.52,1.744,+0.46%,25099547
"2026-03-23 12:00",378.2,382.25,376.47,380.776,2.586,+0.68%,26891443
"2026-03-23 08:00",373.09,385.33,372.73,378.19,10.23,+2.78%,29926333
"2026-03-20 12:00",375.77,376.96,364.4601,367.96,-7.82,-2.08%,33637252
"2026-03-20 08:00",379.85,379.89,369.9,375.78,-4.464,-1.17%,26800883
"2026-03-19 12:00",382.18,384.95,378.73,380.244,-1.9553,-0.51%,27301549
"2026-03-19 08:00",387.27,387.27,379.7232,382.1993,-10.5807,-2.69%,25945469
"2026-03-18 12:00",398.206,398.66,392.31,392.78,-5.43,-1.36%,22164037
"2026-03-18 08:00",399,403.065,397.34,398.21,-1.06,-0.27%,19691476
"2026-03-17 12:00",397.125,399.64,395.9,399.27,2.16,+0.54%,18943065
"2026-03-17 08:00",395.69,400.12,393,397.11,1.55,+0.39%,20011724
"2026-03-16 12:00",398.31,399.25,394.42,395.56,-2.77,-0.70%,25121853
"2026-03-16 08:00",396.22,403.73,394.976,398.33,7.13,+1.82%,23029182
"2026-03-13 12:00",393.45,395.9599,389.95,391.2,-2.275,-0.58%,25328894
"2026-03-13 08:00",399.165,400.2,392.22,393.475,-1.535,-0.39%,22516910
"2026-03-12 12:00",398.32,401.05,394.98,395.01,-3.26,-0.82%,26028476
"2026-03-12 08:00",405.175,406.5,394.65,398.27,-9.57,-2.35%,25180853
"2026-03-11 12:00",406.855,408.66,403.95,407.84,0.985,+0.24%,22050163
"2026-03-11 08:00",402.28,416.3799,402.15,406.855,7.62,+1.91%,29546309
"2026-03-10 12:00",402.62,404.19,398.19,399.235,-3.415,-0.85%,24561971
"2026-03-10 08:00",402.22,406.59,400.8501,402.65,3.97,+1.00%,24836401
"2026-03-09 12:00",389.58,401.59,388.2,398.68,9.115,+2.34%,28407020
"2026-03-09 08:00",390.05,392.99,381.4,389.565,-7.165,-1.81%,25398792
"2026-03-06 12:00",399.72,402.35,396.19,396.73,-3.0201,-0.76%,24846429
"2026-03-06 08:00",398.09,401.41,394.21,399.7501,-5.6399,-1.39%,26979780
"2026-03-05 12:00",406.965,408.62,399.42,405.39,-1.58,-0.39%,23522626
"2026-03-05 08:00",401.57,407.5,400.3,406.97,1.03,+0.25%,19763256
"2026-03-04 12:00",406.51,408.33,403.28,405.94,-0.565,-0.14%,25457345
"2026-03-04 08:00",397.845,407.8524,394.58,406.505,14.15,+3.61%,28764740
"2026-03-03 12:00",391.7983,394.77,389.08,392.355,0.545,+0.14%,23104009
"2026-03-03 08:00",395.09,396.34,385.39,391.81,-11.51,-2.85%,26068749
"2026-03-02 12:00",403.14,403.9199,398.91,403.32,0.195,+0.05%,21457304
"2026-03-02 08:00",390.6,404.54,388.25,403.125,0.615,+0.15%,22694968
"2026-02-27 12:00",402.03,403.66,398.11,402.51,0.46,+0.11%,27929172
"2026-02-27 08:00",402.94,407.12,400.84,402.05,-6.5058,-1.59%,18731326
"2026-02-26 12:00",404.65,409.389,403.66,408.5558,3.9158,+0.97%,22173956
"2026-02-26 08:00",414.42,416.81,404.275,404.64,-12.69,-3.04%,23612174
"2026-02-25 12:00",414.58,417.64,413.8,417.33,2.765,+0.67%,22234046
"2026-02-25 08:00",412.15,420.34,412.15,414.565,5.185,+1.27%,22934766
"2026-02-24 12:00",404.635,410.82,403.7,409.38,4.77,+1.18%,25333385
"2026-02-24 08:00",399.5,407.71,397.64,404.61,4.78,+1.20%,22792383
"2026-02-23 12:00",398.33,400,394.04,399.83,1.475,+0.37%,32166008
