dataset,min_rr,fvg_lookback,pm_big_day_range_atr,min_stop_atr,bias_min_score,min_confs,require_fvg_tap,accum_minutes,target_mode,hours,trades,total_R,avg_R,win_rate,is_trades,is_total_R,is_avg_R,is_win_rate,oos_trades,oos_total_R,oos_avg_R,oos_win_rate,split_date
ES_15m,2.0,24,0.75,0.25,1.0,1,True,15,pdh_pdl,10,15,-4.24,-0.282,33.3,11,-1.48,-0.135,45.5,4,-2.76,-0.689,0.0,2025-07-26
ES_15m,2.0,24,0.75,0.25,1.0,1,True,15,pdh_pdl,"10,14",19,-4.05,-0.213,36.8,13,-1.59,-0.122,46.2,6,-2.47,-0.411,16.7,2025-07-26
ES_15m,2.0,24,0.75,0.25,1.0,1,True,15,rr,10,62,-4.99,-0.081,40.3,37,-6.3,-0.17,40.5,25,1.3,0.052,40.0,2025-07-26
ES_15m,2.0,24,0.75,0.25,1.0,1,True,15,rr,"10,14",85,-6.68,-0.079,40.0,51,-9.75,-0.191,37.3,34,3.07,0.09,44.1,2025-07-26
ES_15m,2.0,24,0.75,0.25,1.0,1,True,30,pdh_pdl,10,11,-5.5,-0.5,27.3,9,-4.17,-0.464,33.3,2,-1.33,-0.665,0.0,2025-07-26
ES_15m,2.0,24,0.75,0.25,1.0,1,True,30,pdh_pdl,"10,14",13,-6.95,-0.535,23.1,10,-5.22,-0.522,30.0,3,-1.73,-0.577,0.0,2025-07-26
ES_15m,2.0,24,0.75,0.25,1.0,1,True,30,rr,10,54,-6.43,-0.119,40.7,35,-5.04,-0.144,42.9,19,-1.4,-0.074,36.8,2025-07-26
ES_15m,2.0,24,0.75,0.25,1.0,1,True,30,rr,"10,14",67,-10.25,-0.153,38.8,43,-7.52,-0.175,39.5,24,-2.73,-0.114,37.5,2025-07-26
ES_15m,2.0,24,0.75,0.25,1.0,1,True,60,pdh_pdl,10,6,-4.26,-0.71,16.7,5,-3.22,-0.643,20.0,1,-1.04,-1.041,0.0,2025-07-26
ES_15m,2.0,24,0.75,0.25,1.0,1,True,60,pdh_pdl,"10,14",6,-4.26,-0.71,16.7,5,-3.22,-0.643,20.0,1,-1.04,-1.041,0.0,2025-07-26
