dataset,ny_date,hour,side,bias_score,entry_ts,entry,stop,target,exit_ts,exit,r,outcome,confs,big_day,rr
QQQ 5m (NQ proxy),2024-06-14,10,long,2.0,2024-06-14 16:10:00+00:00,477.92,476.1939173157632,483.09824805271046,2024-06-14 18:00:00+00:00,478.41,0.27229286539527453,time,ifvg+cisd+open_reclaim,0.4644972414966311,3.0
QQQ 5m (NQ proxy),2024-07-10,10,long,3.0,2024-07-10 16:00:00+00:00,499.99,498.3815964108037,504.81521076758895,2024-07-10 18:00:00+00:00,502.475,1.5325755404660115,time,ifvg+cisd+open_reclaim,0.7422034043386918,3.0
QQQ 5m (NQ proxy),2024-08-21,10,long,3.0,2024-08-21 17:50:00+00:00,482.1,479.34925258493723,490.3522422451884,2024-08-21 18:00:00+00:00,482.45,0.11996739438631197,time,ifvg+cisd+open_reclaim,0.49149263091809325,3.0
QQQ 5m (NQ proxy),2024-10-18,10,long,2.0,2024-10-18 15:15:00+00:00,494.88,493.71893181453373,498.3632045563988,2024-10-18 16:10:00+00:00,493.71893181453373,-1.0172255172007563,stop,ifvg+cisd+open_reclaim,0.3231023103137467,3.0
QQQ 5m (NQ proxy),2024-10-22,10,long,2.0,2024-10-22 16:45:00+00:00,494.3333,493.26546589667765,497.5368023099671,2024-10-22 18:00:00+00:00,497.41,2.862523298787423,time,ifvg+cisd+open_reclaim,0.7541507492244056,3.0
QQQ 5m (NQ proxy),2024-10-25,10,long,2.0,2024-10-25 16:20:00+00:00,499.08,497.8423387702983,502.7929836891051,2024-10-25 17:15:00+00:00,497.8423387702983,-1.0161595107934507,stop,ifvg+cisd+open_reclaim,0.8033259568062021,3.0
QQQ 5m (NQ proxy),2024-11-20,10,short,-4.0,2024-11-20 16:10:00+00:00,499.25,500.6620758916987,495.0137723249039,2024-11-20 16:45:00+00:00,500.6620758916987,-1.0141635446915962,stop,ifvg+cisd+open_reclaim,0.9331392975639642,3.0
QQQ 5m (NQ proxy),2024-12-02,10,long,2.0,2024-12-02 16:05:00+00:00,514.62,513.3839142307879,518.3282573076362,2024-12-02 19:00:00+00:00,515.11,0.38023251436637867,time,ifvg+cisd+open_reclaim,0.8178029962290531,3.0
QQQ 5m (NQ proxy),2024-12-06,10,long,3.0,2024-12-06 16:30:00+00:00,525.795,524.3758871472123,530.0523385583629,2024-12-06 19:00:00+00:00,526.11,0.20787634994677928,time,ifvg+cisd+open_reclaim,0.6898386934313201,3.0
QQQ 5m (NQ proxy),2024-12-11,10,long,2.0,2024-12-11 16:10:00+00:00,528.68,526.9782841416165,533.7851475751502,2024-12-11 19:00:00+00:00,529.88,0.6934177607776533,time,ifvg+cisd+open_reclaim,0.9335160659266453,3.0
QQQ 5m (NQ proxy),2024-12-12,10,short,-5.0,2024-12-12 16:55:00+00:00,527.2,528.8677031034147,522.1968906897562,2024-12-12 18:00:00+00:00,528.8677031034147,-1.0119925422930796,stop,ifvg+cisd+open_reclaim,0.45270256934258934,3.0
QQQ 5m (NQ proxy),2025-02-06,10,long,3.0,2025-02-06 18:20:00+00:00,528.63,526.4646366004017,535.1260901987948,2025-02-06 19:00:00+00:00,528.31,-0.15701752420084664,time,ifvg+cisd+open_reclaim,0.28859606529825393,3.0
QQQ 5m (NQ proxy),2025-02-14,10,long,2.0,2025-02-14 17:45:00+00:00,536.67,535.7391133126188,539.4626600621435,2025-02-14 19:00:00+00:00,537.96,1.3642906459140545,time,ifvg+cisd+open_reclaim,0.30345808612102787,3.0
QQQ 5m (NQ proxy),2025-03-04,10,short,-3.0,2025-03-04 15:50:00+00:00,490.07,492.33949998299437,483.26150005101687,2025-03-04 16:45:00+00:00,492.33949998299437,-1.008812513835586,stop,ifvg+cisd+open_reclaim,1.0781472194275985,3.0
QQQ 5m (NQ proxy),2025-03-06,10,short,-2.0,2025-03-06 17:00:00+00:00,490.705,498.62992640392036,466.93022078823884,2025-03-06 19:00:00+00:00,487.6,0.3892780630081111,time,ifvg+cisd+open_reclaim,1.0748121162884867,3.0
QQQ 5m (NQ proxy),2025-05-14,10,long,2.0,2025-05-14 17:50:00+00:00,517.91,515.8578211683711,524.0665364948867,2025-05-14 18:00:00+00:00,517.81,-0.058474436121521284,time,ifvg+cisd+open_reclaim,0.257149724326415,3.0
QQQ 5m (NQ proxy),2025-06-10,10,long,3.0,2025-06-10 15:55:00+00:00,532.08,528.8922020640575,541.6433938078276,2025-06-10 18:00:00+00:00,531.36,-0.23213516504810613,time,ifvg+cisd+open_reclaim,0.47761488949747005,3.0
QQQ 5m (NQ proxy),2025-06-27,10,long,2.0,2025-06-27 15:30:00+00:00,549.595,548.1571493663108,553.9085519010677,2025-06-27 17:40:00+00:00,548.1571493663108,-1.0139096506489582,stop,ifvg+cisd+open_reclaim,0.4011656012676212,3.0
QQQ 5m (NQ proxy),2025-07-21,10,long,3.0,2025-07-21 16:50:00+00:00,565.65,564.4980292021903,569.105912393429,2025-07-21 18:00:00+00:00,565.76,0.07812698045049206,time,ifvg+cisd+open_reclaim,0.6592301443642159,3.0
QQQ 5m (NQ proxy),2025-08-01,10,short,-2.0,2025-08-01 17:25:00+00:00,553.19,557.9159792275599,539.0120623173206,2025-08-01 18:00:00+00:00,552.51,0.13965359732248372,time,ifvg+cisd+open_reclaim,1.142214853414907,3.0
QQQ 5m (NQ proxy),2025-08-08,10,long,3.0,2025-08-08 16:00:00+00:00,574.01,572.1192739247555,579.6821782257335,2025-08-08 18:00:00+00:00,574.64,0.3226273800244216,time,ifvg+cisd+open_reclaim,0.5647498339198123,3.0
QQQ 5m (NQ proxy),2025-09-19,10,long,3.0,2025-09-19 16:00:00+00:00,597.93,595.8599239188444,604.1402282434666,2025-09-19 18:00:00+00:00,598.435,0.2342909057377548,time,ifvg+cisd+open_reclaim,0.4781187467854377,3.0
QQQ 5m (NQ proxy),2025-10-24,10,long,2.0,2025-10-24 15:20:00+00:00,617.75,615.1825330125758,625.4524009622725,2025-10-24 18:00:00+00:00,617.89,0.0467386730142061,time,ifvg+cisd+open_reclaim,0.3658777352684778,3.0
QQQ 5m (NQ proxy),2025-10-28,10,long,3.0,2025-10-28 16:00:00+00:00,630.8,629.2111645856439,635.566506243068,2025-10-28 18:00:00+00:00,632.78,1.2336079510126159,time,ifvg+cisd+open_reclaim,0.4033552867657774,3.0
QQQ 5m (NQ proxy),2025-12-02,10,long,3.0,2025-12-02 17:25:00+00:00,622.2,617.5342575765185,636.1972272704447,2025-12-02 19:00:00+00:00,621.945,-0.058940244668455447,time,ifvg+cisd+open_reclaim,0.5345879809463914,3.0
QQQ 5m (NQ proxy),2025-12-15,10,short,-3.0,2025-12-15 16:35:00+00:00,612.38,614.9599252007506,604.6402243977482,2025-12-15 19:00:00+00:00,612.7,-0.13178676649273777,time,ifvg+cisd+open_reclaim,0.9139514901290665,3.0
QQQ 5m (NQ proxy),2026-02-05,10,short,-3.0,2026-02-05 18:20:00+00:00,599.26,603.1802775389751,587.4991673830746,2026-02-05 19:00:00+00:00,599.11,0.03316091748799053,time,ifvg+cisd+open_reclaim,0.998490291057203,3.0
QQQ 5m (NQ proxy),2026-02-25,10,long,3.0,2026-02-25 17:50:00+00:00,615.605,613.5896341376574,621.6510975870278,2026-02-25 19:00:00+00:00,615.995,0.1835894945495944,time,ifvg+cisd+open_reclaim,0.45847166013542345,3.0
QQQ 5m (NQ proxy),2026-03-24,10,short,-2.0,2026-03-24 17:05:00+00:00,583.32,588.0105017143428,569.2484948569718,2026-03-24 18:00:00+00:00,584.56,-0.26862797984851583,time,ifvg+cisd+open_reclaim,0.5010117322335147,3.0
QQQ 5m (NQ proxy),2026-03-25,10,short,-2.0,2026-03-25 15:15:00+00:00,586.44,591.2561467867469,571.9915596397597,2026-03-25 18:00:00+00:00,588.91,-0.5170108201128674,time,ifvg+cisd+open_reclaim,0.47930705015217,3.0
QQQ 5m (NQ proxy),2026-03-30,10,short,-3.0,2026-03-30 16:25:00+00:00,561.72,565.5577084900157,550.2068745299531,2026-03-30 18:00:00+00:00,559.73,0.5133271599771714,time,ifvg+cisd+open_reclaim,0.761386497709295,3.0
QQQ 5m (NQ proxy),2026-05-01,10,long,3.0,2026-05-01 15:35:00+00:00,675.52,671.9410584217278,686.2568247348165,2026-05-01 18:00:00+00:00,674.85,-0.19279442955676113,time,ifvg+cisd+open_reclaim,0.6830849080495125,3.0
SPY 5m (ES proxy),2024-06-18,10,long,3.0,2024-06-18 15:45:00+00:00,547.68,546.7010250758273,550.616924772518,2024-06-18 18:00:00+00:00,547.5,-0.20429532469278072,time,ifvg+cisd+open_reclaim,0.35517617775828964,3.0
SPY 5m (ES proxy),2024-06-27,10,long,3.0,2024-06-27 17:25:00+00:00,546.3,544.6448449720094,551.2654650839715,2024-06-27 18:00:00+00:00,545.215,-0.6676111792026312,time,ifvg+cisd+open_reclaim,0.4774702191040364,3.0
SPY 5m (ES proxy),2024-07-10,10,long,2.0,2024-07-10 15:25:00+00:00,557.68,556.7705557327887,560.4083328016337,2024-07-10 18:00:00+00:00,559.76,2.2651195617702653,time,ifvg+cisd+open_reclaim,0.7312487120005807,3.0
SPY 5m (ES proxy),2024-07-23,10,long,2.0,2024-07-23 15:10:00+00:00,556.33,554.2552136435854,562.5543590692439,2024-07-23 16:55:00+00:00,554.2552136435854,-1.0096395467119619,stop,ifvg+cisd+open_reclaim,0.4622278578073532,3.0
SPY 5m (ES proxy),2024-10-07,10,long,3.0,2024-10-07 15:10:00+00:00,571.54,570.5553216022903,574.494035193129,2024-10-07 16:10:00+00:00,570.5553216022903,-1.0203112001304377,stop,ifvg+cisd+open_reclaim,0.33838464859627093,3.0
SPY 5m (ES proxy),2024-10-14,10,long,3.0,2024-10-14 15:55:00+00:00,583.46,582.3190456975033,586.8828629074903,2024-10-14 18:00:00+00:00,583.68,0.17529185837000733,time,ifvg+cisd+open_reclaim,0.5835307954132343,3.0
SPY 5m (ES proxy),2024-12-02,10,long,3.0,2024-12-02 16:15:00+00:00,603.28,602.4536577796757,605.7590266609727,2024-12-02 19:00:00+00:00,603.62,0.38724875981099754,time,ifvg+cisd+open_reclaim,0.2666118108381718,3.0
SPY 5m (ES proxy),2024-12-12,10,short,-2.0,2024-12-12 16:50:00+00:00,606.1,607.182493921465,602.852518235605,2024-12-12 19:00:00+00:00,606.0,0.0739034172974875,time,ifvg+cisd+open_reclaim,0.43934242978706334,3.0
SPY 5m (ES proxy),2024-12-19,10,long,2.0,2024-12-19 16:20:00+00:00,590.62,587.6785653681777,599.4443038954669,2024-12-19 17:30:00+00:00,587.6785653681777,-1.0067994031836123,stop,ifvg+cisd+open_reclaim,1.0011197262244946,3.0
SPY 5m (ES proxy),2025-01-08,10,short,-2.0,2025-01-08 17:20:00+00:00,586.69,590.020404806234,576.6987855812984,2025-01-08 19:00:00+00:00,587.77,-0.3302901791220488,time,ifvg+cisd+open_reclaim,0.6177636129751789,3.0
SPY 5m (ES proxy),2025-01-10,10,short,-2.0,2025-01-10 16:00:00+00:00,580.315,583.309226381066,571.3323208568023,2025-01-10 18:20:00+00:00,583.309226381066,-1.0066795216709299,stop,ifvg+cisd+open_reclaim,0.9819695710745022,3.0
SPY 5m (ES proxy),2025-02-10,10,long,2.0,2025-02-10 17:50:00+00:00,604.5,603.1710345281315,608.4868964156055,2025-02-10 19:00:00+00:00,604.9,0.2859366989164139,time,ifvg+cisd+open_reclaim,0.35884827743049114,3.0
SPY 5m (ES proxy),2025-02-14,10,long,3.0,2025-02-14 15:45:00+00:00,610.43,609.696140575288,612.6315782741357,2025-02-14 16:20:00+00:00,609.696140575288,-1.0272531759169699,stop,ifvg+cisd+open_reclaim,0.2787748555516494,3.0
SPY 5m (ES proxy),2025-02-28,10,short,-3.0,2025-02-28 17:40:00+00:00,585.31,589.1058403154269,573.922479053719,2025-02-28 19:00:00+00:00,584.36,0.24500503780947952,time,ifvg+cisd+open_reclaim,0.9165728137614976,3.0
SPY 5m (ES proxy),2025-03-06,10,short,-3.0,2025-03-06 17:00:00+00:00,573.34,580.2509850617844,552.607044814647,2025-03-06 19:00:00+00:00,571.0,0.3356974409956302,time,ifvg+cisd+open_reclaim,1.1003130884552081,3.0
SPY 5m (ES proxy),2025-03-17,10,long,2.0,2025-03-17 17:25:00+00:00,565.7,562.7852728551238,574.4441814346287,2025-03-17 18:00:00+00:00,567.53,0.6209843700744724,time,ifvg+cisd+open_reclaim,0.4895464466035396,3.0
SPY 5m (ES proxy),2025-04-16,10,short,-2.0,2025-04-16 17:30:00+00:00,528.94,535.1484312352627,510.3147062942121,2025-04-16 18:00:00+00:00,525.22,0.5959637563487481,time,ifvg+cisd+open_reclaim,0.5832067359203269,3.0
SPY 5m (ES proxy),2025-06-11,10,long,2.0,2025-06-11 17:00:00+00:00,604.03,601.9479672215466,610.2760983353601,2025-06-11 18:00:00+00:00,601.9479672215466,-1.0096059967004252,stop,ifvg+cisd+open_reclaim,0.3648228866467548,3.0
SPY 5m (ES proxy),2025-07-01,10,long,3.0,2025-07-01 15:25:00+00:00,617.28,615.4833157417808,622.6700527746576,2025-07-01 18:00:00+00:00,618.26,0.5343175884178573,time,ifvg+cisd+open_reclaim,0.47571034597787326,3.0
SPY 5m (ES proxy),2025-07-16,10,long,2.0,2025-07-16 16:35:00+00:00,622.2,618.0183792086033,634.7448623741903,2025-07-16 18:00:00+00:00,623.345,0.2690344381093923,time,ifvg+cisd+open_reclaim,1.0499053343192288,3.0
SPY 5m (ES proxy),2025-08-01,10,short,-2.0,2025-08-01 17:10:00+00:00,620.81,625.0267010456898,608.1598968629303,2025-08-01 18:00:00+00:00,620.23,0.13280524133251817,time,ifvg+cisd+open_reclaim,1.2462000920770064,3.0
SPY 5m (ES proxy),2025-08-08,10,long,3.0,2025-08-08 15:50:00+00:00,636.04,634.8391101028967,639.6426696913097,2025-08-08 18:00:00+00:00,637.5,1.1991107623384607,time,ifvg+cisd+open_reclaim,0.5623635627970769,3.0
SPY 5m (ES proxy),2025-09-10,10,long,2.0,2025-09-10 15:50:00+00:00,653.615,652.3257805188437,657.4826584434691,2025-09-10 16:40:00+00:00,652.3257805188437,-1.0155132623205951,stop,ifvg+cisd+open_reclaim,0.4654189421210452,3.0
SPY 5m (ES proxy),2026-01-06,10,long,2.0,2026-01-06 17:20:00+00:00,690.46,688.2761070397522,697.0116788807435,2026-01-06 19:00:00+00:00,691.72,0.5677933958170193,time,ifvg+cisd+open_reclaim,0.6320009282279418,3.0
SPY 5m (ES proxy),2026-02-05,10,short,-3.0,2026-02-05 17:15:00+00:00,679.77,681.6519652040046,674.1241043879862,2026-02-05 17:25:00+00:00,681.6519652040046,-1.0106271890454948,stop,ifvg+cisd+open_reclaim,1.0354409401746303,3.0
SPY 5m (ES proxy),2026-03-19,10,short,-3.0,2026-03-19 15:20:00+00:00,657.54,659.8012858453086,650.7561424640741,2026-03-19 18:00:00+00:00,656.71,0.3582032769896781,time,ifvg+cisd+open_reclaim,0.45682588882972036,3.0
SPY 5m (ES proxy),2026-03-30,10,short,-3.0,2026-03-30 17:00:00+00:00,634.85,638.7608037621036,623.1175887136893,2026-03-30 18:00:00+00:00,633.3,0.3912239255843156,time,ifvg+cisd+open_reclaim,0.6865421486881623,3.0
SPY 5m (ES proxy),2026-05-08,10,long,2.0,2026-05-08 15:35:00+00:00,737.29,736.0162728914972,741.1111813255081,2026-05-08 18:00:00+00:00,737.57,0.20412535641619342,time,ifvg+cisd+open_reclaim,0.40578191227688876,3.0
GLD 5m (GC proxy),2024-06-10,10,long,2.0,2024-06-10 15:40:00+00:00,213.39,212.85528043058423,214.99415870824726,2024-06-10 18:00:00+00:00,213.84,0.8041598336672854,time,ifvg+cisd+open_reclaim,0.36280312853087393,3.0
GLD 5m (GC proxy),2024-06-24,10,long,2.0,2024-06-24 16:10:00+00:00,215.42,215.2218369748116,216.01448907556517,2024-06-24 18:00:00+00:00,215.755,1.5896002783593897,time,ifvg+cisd+open_reclaim,0.1938554266735213,3.0
GLD 5m (GC proxy),2024-07-30,10,long,3.0,2024-07-30 16:35:00+00:00,221.22,220.34161465024337,223.85515604926988,2024-07-30 18:00:00+00:00,222.37,1.286451328352748,time,ifvg+cisd+open_reclaim,0.9031532047295696,3.0
GLD 5m (GC proxy),2024-07-31,10,long,3.0,2024-07-31 16:25:00+00:00,224.38,223.64944309411754,226.57167071764735,2024-07-31 18:00:00+00:00,224.16,-0.3285165030506404,time,ifvg+cisd+open_reclaim,0.31522145733817725,3.0
GLD 5m (GC proxy),2024-08-13,10,long,3.0,2024-08-13 15:05:00+00:00,228.53,227.78518554367497,230.7644433689751,2024-08-13 18:00:00+00:00,228.145,-0.5437595854386212,time,ifvg+cisd+open_reclaim,0.3002083764072874,3.0
GLD 5m (GC proxy),2024-09-05,10,long,2.0,2024-09-05 17:40:00+00:00,232.2,231.3889303834782,234.63320884956536,2024-09-05 18:00:00+00:00,232.445,0.2774114520093841,time,ifvg+cisd+open_reclaim,0.5305330415181806,3.0
