symbol,timeframe,lookback,threshold,atr_mult,trend_filter,session_window,trades,win_rate,expectancy,total_R
SPY,15m,12,0.01,2.0,off,all_hours,215,52.1,0.042,9.03
SPY,15m,12,0.01,2.0,off,us_market_hours,145,49.7,0.014,2.03
SPY,15m,12,0.01,2.0,on,all_hours,90,43.3,-0.133,-11.97
SPY,15m,12,0.01,2.0,on,us_market_hours,57,43.9,-0.124,-7.07
SPY,15m,12,0.01,2.5,off,all_hours,195,51.8,0.036,7.02
SPY,15m,12,0.01,2.5,off,us_market_hours,139,50.4,0.027,3.75
SPY,15m,12,0.01,2.5,on,all_hours,84,48.8,-0.024,-2.02
SPY,15m,12,0.01,2.5,on,us_market_hours,56,46.4,-0.081,-4.54
SPY,15m,12,0.01,3.0,off,all_hours,177,55.9,0.119,21.06
SPY,15m,12,0.01,3.0,off,us_market_hours,136,51.5,0.044,5.98
SPY,15m,12,0.01,3.0,on,all_hours,80,50.0,0.0,0.0
SPY,15m,12,0.01,3.0,on,us_market_hours,55,47.3,-0.064,-3.52
SPY,15m,12,0.01,3.5,off,all_hours,160,56.2,0.125,20.0
SPY,15m,12,0.01,3.5,off,us_market_hours,132,50.8,0.068,8.98
SPY,15m,12,0.01,3.5,on,all_hours,78,47.4,-0.051,-3.98
SPY,15m,12,0.01,3.5,on,us_market_hours,54,48.1,-0.03,-1.62
SPY,15m,12,0.015,2.0,off,all_hours,89,49.4,-0.011,-0.98
SPY,15m,12,0.015,2.0,off,us_market_hours,59,49.2,0.09,5.31
SPY,15m,12,0.015,2.0,on,all_hours,40,45.0,-0.1,-4.0
SPY,15m,12,0.015,2.0,on,us_market_hours,26,50.0,0.07,1.82
SPY,15m,12,0.015,2.5,off,all_hours,84,51.2,0.024,2.02
SPY,15m,12,0.015,2.5,off,us_market_hours,58,46.6,0.069,4.0
SPY,15m,12,0.015,2.5,on,all_hours,38,47.4,-0.053,-2.01
SPY,15m,12,0.015,2.5,on,us_market_hours,25,44.0,-0.046,-1.15
SPY,15m,12,0.015,3.0,off,all_hours,75,57.3,0.147,11.02
SPY,15m,12,0.015,3.0,off,us_market_hours,58,46.6,0.058,3.36
SPY,15m,12,0.015,3.0,on,all_hours,32,46.9,-0.062,-1.98
SPY,15m,12,0.015,3.0,on,us_market_hours,25,40.0,-0.114,-2.85
SPY,15m,12,0.015,3.5,off,all_hours,63,52.4,0.048,3.02
SPY,15m,12,0.015,3.5,off,us_market_hours,57,45.6,0.102,5.81
SPY,15m,12,0.015,3.5,on,all_hours,30,46.7,-0.067,-2.01
